start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643315196963, 1643315203403, 1254, 0, 247, 2838, 215
1643315197765, 1643315208034, 154, 0, 219, 8113, 52
1643315198563, 1643315204792, 258, 0, 431, 3591, 14
1643315199359, 1643315207649, 463, 0, 332, 5676, 19
1643315200177, 1643315206563, 256, 0, 567, 3595, 20
1643315200971, 1643315214778, 2819, 0, 208, 8934, 41
1643315201769, 1643315214850, 1960, 0, 300, 8742, 112
1643315202571, 1643315209651, 1907, 0, 223, 3148, 35
1643315203370, 1643315210125, 420, 0, 302, 3162, 1204
1643315204174, 1643315213693, 1358, 0, 401, 5675, 113
1643315204976, 1643315211105, 571, 0, 441, 3099, 121
1643315205786, 1643315212034, 2249, 0, 149, 1659, 145
1643315206567, 1643315214992, 373, 0, 207, 3784, 2232
1643315207384, 1643315220874, 1648, 0, 199, 7486, 2213
1643315208190, 1643315220873, 2312, 0, 130, 6049, 2214
1643315208978, 1643315222302, 1552, 0, 270, 8551, 1044
1643315209788, 1643315213692, 478, 0, 160, 1341, 136
1643315210582, 1643315220822, 735, 0, 164, 7455, 49
1643315211381, 1643315220874, 1555, 0, 412, 3559, 2013
1643315212194, 1643315218642, 142, 0, 318, 4099, 24
1643315212983, 1643315223450, 3662, 0, 220, 4595, 13
1643315213788, 1643315223385, 3955, 0, 294, 3361, 42
1643315214591, 1643315221662, 246, 0, 162, 4814, 35
1643315215396, 1643315223237, 682, 0, 164, 5084, 85
1643315216191, 1643315223447, 690, 0, 197, 4560, 12
1643315217157, 1643315235937, 4103, 0, 219, 7750, 4818
1643315217792, 1643315224526, 3462, 0, 357, 991, 109
1643315222833, 1643315231709, 700, 0, 572, 5232, 18
1643315219408, 1643315235795, 1781, 0, 277, 7852, 4678
1643315224351, 1643315236660, 1295, 0, 487, 8256, 115
1643315220993, 1643315235938, 943, 0, 131, 7253, 4819
1643315221808, 1643315235937, 283, 0, 153, 7126, 4821
1643315222607, 1643315235938, 152, 0, 173, 6286, 4819
1643315223401, 1643315231569, 74, 0, 1061, 5214, 99
1643315224706, 1643315238173, 155, 0, 300, 7869, 3226
1643315225006, 1643315236288, 243, 0, 305, 8831, 164
1643315225822, 1643315235760, 448, 0, 358, 6275, 1040
1643315226610, 1643315240623, 3835, 0, 351, 5412, 2584
1643315227412, 1643315240622, 3031, 0, 228, 5493, 2584
1643315228213, 1643315236288, 67, 0, 370, 5595, 122
1643315229018, 1643315240555, 1475, 0, 194, 5436, 2517
1643315234056, 1643315243132, 1268, 0, 705, 4745, 16
1643315234823, 1643315241627, 678, 0, 546, 3173, 13
1643315235611, 1643315242221, 1003, 0, 85, 3106, 32
1643315232219, 1643315240314, 724, 0, 536, 5036, 60
1643315233020, 1643315243373, 546, 0, 381, 6111, 1256
1643315238005, 1643315244303, 276, 0, 145, 3458, 32
1643315238856, 1643315247587, 3547, 0, 284, 2605, 17
1643315239626, 1643315252332, 2901, 0, 147, 5180, 2257
1643315236220, 1643315241801, 256, 0, 259, 3132, 16
1643315237024, 1643315243067, 288, 0, 164, 3725, 11
1643315237832, 1643315245299, 2865, 0, 201, 2613, 10
1643315238641, 1643315245533, 1896, 0, 127, 2929, 52
1643315239428, 1643315246804, 3469, 0, 290, 1784, 49
1643315240238, 1643315252275, 2619, 0, 250, 4962, 2415
1643315241045, 1643315248349, 430, 0, 226, 4700, 12
1643315241835, 1643315246283, 420, 0, 136, 2200, 12
1643315242634, 1643315248062, 605, 0, 165, 2837, 16
1643315243429, 1643315250246, 186, 0, 295, 1891, 2517
1643315244247, 1643315252331, 222, 0, 184, 3610, 2258
1643315245047, 1643315252332, 204, 0, 249, 2647, 2325
1643315245842, 1643315257511, 523, 0, 132, 9089, 105
1643315246651, 1643315254593, 239, 0, 120, 2970, 2772
1643315247453, 1643315252403, 363, 0, 190, 2623, 14
1643315248237, 1643315253807, 352, 0, 361, 2926, 14
1643315249044, 1643315261159, 862, 0, 206, 7004, 2266
1643315249854, 1643315256636, 2425, 0, 134, 2263, 16
1643315250640, 1643315255976, 200, 0, 179, 2893, 160
1643315251446, 1643315260458, 3107, 0, 169, 3803, 16
1643315252257, 1643315261018, 197, 0, 153, 4209, 2240
1643315253047, 1643315260962, 78, 0, 289, 5637, 40
1643315253861, 1643315260249, 594, 0, 296, 3486, 59
1643315254653, 1643315267425, 1432, 0, 174, 7419, 2044
1643315255457, 1643315267425, 3207, 0, 342, 4584, 2167
1643315256271, 1643315264637, 719, 0, 420, 5491, 73
1643315257062, 1643315266447, 345, 0, 145, 7038, 22
1643315257867, 1643315267425, 1804, 0, 132, 4151, 1785
1643315258665, 1643315270185, 2064, 0, 169, 7260, 254
1643315259469, 1643315272264, 773, 0, 259, 6431, 3536
1643315260269, 1643315266752, 996, 0, 121, 3394, 34
1643315261075, 1643315277872, 2844, 0, 265, 10208, 1832
1643315261867, 1643315270185, 1421, 0, 304, 4580, 253
1643315262674, 1643315270187, 553, 0, 169, 4780, 254
1643315263479, 1643315277872, 1189, 0, 289, 9243, 1834
1643315264270, 1643315272265, 150, 0, 267, 3089, 2742
1643315265073, 1643315277872, 2690, 0, 277, 6134, 1784
1643315265876, 1643315277872, 1904, 0, 438, 6078, 1646
1643315266676, 1643315274191, 630, 0, 288, 4704, 123
1643315267493, 1643315277872, 304, 0, 210, 6231, 1785
1643315268301, 1643315283089, 2465, 0, 203, 9320, 1045
1643315269082, 1643315277625, 3255, 0, 283, 2975, 28
1643315269887, 1643315282976, 958, 0, 144, 9249, 930
1643315270686, 1643315277872, 436, 0, 213, 3349, 1344
1643315271486, 1643315287889, 5260, 0, 169, 8495, 520
1643315272288, 1643315279638, 301, 0, 242, 3412, 1622
1643315273088, 1643315283885, 503, 0, 148, 4864, 3418
1643315273891, 1643315287254, 301, 0, 323, 8499, 2370
1643315274697, 1643315287253, 219, 0, 572, 7430, 2372
1643315275504, 1643315287889, 2529, 0, 386, 7110, 520
1643315276298, 1643315292667, 1644, 0, 154, 9676, 2984
1643315277101, 1643315293092, 1750, 0, 404, 11492, 550
1643315277894, 1643315292666, 181, 0, 232, 9545, 2986
1643315278693, 1643315292948, 2727, 0, 190, 8853, 525
1643315279503, 1643315289380, 500, 0, 642, 6757, 67
1643315280290, 1643315295382, 3472, 0, 690, 7717, 1302
1643315281116, 1643315296622, 4294, 0, 467, 6713, 2256
1643315281906, 1643315288936, 1346, 0, 333, 3576, 13
1643315282706, 1643315288940, 650, 0, 204, 3648, 16
1643315283511, 1643315295383, 486, 0, 606, 7133, 1873
1643315284827, 1643315294991, 2667, 0, 195, 5387, 18
1643315285111, 1643315302617, 3306, 0, 147, 9291, 2990
1643315285911, 1643315304121, 236, 0, 493, 14472, 1185
1643315286711, 1643315302618, 83, 0, 166, 10841, 2988
1643315287521, 1643315302338, 1098, 0, 1026, 9944, 871
1643315288324, 1643315312846, 4950, 0, 523, 10641, 6695
1643315289109, 1643315302618, 556, 0, 231, 7725, 2990
1643315289915, 1643315302619, 3300, 0, 572, 4104, 2989
1643315290719, 1643315312846, 3606, 0, 437, 9541, 6695
1643315291514, 1643315312846, 1803, 0, 568, 10367, 6695
1643315292316, 1643315312842, 946, 0, 398, 10562, 6695
1643315293127, 1643315304302, 2526, 0, 243, 5456, 1098
1643315293922, 1643315312842, 1732, 0, 234, 10631, 4483
1643315294729, 1643315312966, 859, 0, 1016, 9599, 4782
1643315295523, 1643315312814, 984, 0, 256, 7558, 6667
1643315296325, 1643315313904, 3054, 0, 294, 12262, 176
1643315297135, 1643315312843, 2450, 0, 732, 5350, 5413
1643315297935, 1643315304221, 1539, 0, 857, 1982, 76
1643315298730, 1643315308803, 279, 0, 280, 7734, 18
1643315299532, 1643315311656, 3847, 0, 179, 6103, 68
1643315300341, 1643315311654, 3039, 0, 177, 6092, 65
1643315301133, 1643315315804, 5501, 0, 414, 6779, 94
1643315306094, 1643315322411, 6573, 0, 507, 6781, 111
1643315302733, 1643315315804, 710, 0, 1095, 9365, 95
1643315303545, 1643315315918, 4521, 0, 999, 4828, 51
1643315304338, 1643315321972, 491, 0, 138, 9296, 5894
1643315305142, 1643315316047, 1476, 0, 295, 7209, 75
1643315305938, 1643315321973, 899, 0, 182, 7110, 5897
1643315306741, 1643315322482, 6244, 0, 178, 7335, 141
1643315307543, 1643315316439, 240, 0, 1160, 5514, 76
1643315308352, 1643315322592, 4746, 0, 243, 7298, 109
1643315309153, 1643315322740, 3956, 0, 309, 7463, 90
1643315316180, 1643315330048, 442, 0, 749, 10088, 114
1643315314987, 1643315321130, 1007, 0, 1126, 1649, 43
1643315315739, 1643315326034, 827, 0, 527, 6566, 69
1643315312365, 1643315322742, 261, 0, 216, 8033, 89
1643315313162, 1643315326004, 3300, 0, 891, 7007, 42
1643315313962, 1643315325851, 724, 0, 141, 9160, 58
1643315314763, 1643315324450, 207, 0, 165, 7441, 15
1643315315570, 1643315320471, 883, 0, 1214, 993, 62
1643315316357, 1643315326032, 458, 0, 848, 6236, 337
1643315317183, 1643315326493, 250, 0, 256, 6938, 25
1643315317961, 1643315323930, 787, 0, 306, 3082, 14
1643315318765, 1643315333972, 303, 0, 804, 9858, 2426
1643315319576, 1643315326003, 263, 0, 369, 3938, 86
1643315320370, 1643315327695, 133, 0, 536, 4771, 24
1643315321163, 1643315327781, 294, 0, 201, 4247, 59
1643315321971, 1643315336989, 605, 0, 211, 8876, 3543
1643315322771, 1643315336119, 70, 0, 225, 11299, 23
1643315323573, 1643315338297, 5746, 0, 506, 6695, 38
1643315324375, 1643315329931, 87, 0, 142, 3210, 110
1643315325171, 1643315340780, 4160, 0, 587, 9063, 46
1643315325979, 1643315336118, 1449, 0, 173, 6595, 49
1643315326773, 1643315336376, 321, 0, 216, 7012, 159
1643315327599, 1643315338108, 1443, 0, 303, 6440, 661
1643315328391, 1643315340817, 3975, 0, 173, 6420, 38
1643315329193, 1643315340780, 404, 0, 188, 9056, 42
1643315329980, 1643315340780, 737, 0, 157, 8117, 44
1643315330789, 1643315340891, 243, 0, 290, 7640, 111
1643315331594, 1643315340818, 2711, 0, 470, 4145, 39
1643315332397, 1643315345650, 2676, 0, 205, 7787, 779
1643315333190, 1643315348224, 657, 0, 926, 7751, 3871
1643315333986, 1643315348358, 3130, 0, 296, 5297, 3714
1643315334796, 1643315348601, 2320, 0, 210, 5438, 3940
1643315335603, 1643315343319, 1126, 0, 154, 4199, 365
1643315336397, 1643315342860, 315, 0, 173, 4243, 56
1643315337201, 1643315354136, 3846, 0, 219, 10821, 68
1643315338009, 1643315348224, 422, 0, 247, 3844, 3743
1643315338806, 1643315345465, 2331, 0, 232, 2149, 171
1643315339605, 1643315345650, 1441, 0, 160, 2482, 125
1643315340403, 1643315354136, 767, 0, 288, 10791, 68
1643315341199, 1643315353483, 3869, 0, 858, 5705, 39
1643315342011, 1643315353485, 265, 0, 204, 9150, 40
1643315342801, 1643315353483, 430, 0, 126, 8136, 39
1643315343629, 1643315355392, 432, 0, 222, 6333, 2955
1643315344408, 1643315357350, 3778, 0, 364, 4541, 2343
1643315345210, 1643315353484, 530, 0, 209, 5566, 38
