start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643163827171, 1643163831332, 343, 0, 177, 810, 16
1643163827581, 1643163830996, 227, 0, 173, 552, 17
1643163828233, 1643163832529, 327, 0, 179, 941, 17
1643163829857, 1643163833995, 545, 0, 289, 566, 40
1643163829393, 1643163834916, 284, 0, 100, 2034, 16
1643163831014, 1643163837286, 1128, 0, 304, 1805, 103
1643163831588, 1643163837650, 516, 0, 275, 2240, 20
1643163832223, 1643163838713, 235, 0, 79, 1995, 1288
1643163832851, 1643163839060, 670, 0, 272, 2623, 55
1643163832364, 1643163837845, 261, 0, 217, 2186, 300
1643163834048, 1643163841945, 393, 0, 207, 3018, 1407
1643163833530, 1643163840100, 674, 0, 176, 2773, 22
1643163834176, 1643163840702, 259, 0, 211, 3124, 13
1643163835930, 1643163846647, 401, 0, 167, 7276, 35
1643163836510, 1643163846457, 1661, 0, 293, 4737, 84
1643163836004, 1643163843298, 1033, 0, 152, 2872, 101
1643163831378, 1643163834673, 108, 0, 201, 947, 141
1643163831977, 1643163835471, 63, 0, 235, 896, 12
1643163832575, 1643163837701, 313, 0, 247, 2213, 49
1643163837394, 1643163848809, 1255, 0, 832, 6147, 15
1643163839048, 1643163853279, 469, 0, 251, 6165, 4270
1643163834390, 1643163839229, 420, 0, 240, 1841, 14
1643163834988, 1643163841946, 127, 0, 168, 3072, 1408
1643163835590, 1643163841783, 61, 0, 226, 3110, 375
1643163836202, 1643163841647, 551, 0, 193, 1984, 240
1643163841093, 1643163857324, 574, 0, 124, 8618, 3955
1643163837388, 1643163843196, 1349, 0, 353, 1650, 225
1643163837993, 1643163846454, 760, 0, 224, 4748, 167
1643163838596, 1643163846709, 1232, 0, 452, 3888, 60
1643163839216, 1643163846537, 226, 0, 445, 4221, 81
1643163839793, 1643163846504, 970, 0, 241, 3307, 49
1643163840405, 1643163857487, 1698, 0, 279, 8854, 3551
1643163840989, 1643163853807, 68, 0, 358, 6076, 3881
1643163841604, 1643163857486, 953, 0, 1115, 7867, 3551
1643163842200, 1643163857488, 1698, 0, 837, 6639, 3551
1643163842808, 1643163857486, 893, 0, 1205, 6618, 3550
1643163843403, 1643163857487, 793, 0, 855, 6493, 3550
1643163844009, 1643163857489, 3228, 0, 157, 8059, 32
1643163844604, 1643163861451, 3008, 0, 589, 8836, 1903
1643163845203, 1643163860349, 1631, 0, 491, 8123, 2663
1643163845810, 1643163857602, 1146, 0, 407, 7946, 34
1643163852748, 1643163868260, 4188, 0, 357, 6234, 1556
1643163847003, 1643163861567, 2101, 0, 704, 6702, 2696
1643163847604, 1643163856135, 123, 0, 495, 5194, 276
1643163848218, 1643163857323, 2321, 0, 507, 3302, 485
1643163848816, 1643163856311, 469, 0, 422, 4335, 54
1643163849411, 1643163868259, 5227, 0, 145, 9282, 1557
1643163850013, 1643163865556, 4625, 0, 153, 4747, 3846
1643163850609, 1643163868261, 988, 0, 446, 12036, 1557
1643163857448, 1643163875002, 5004, 0, 404, 5512, 3559
1643163857012, 1643163875224, 2996, 0, 467, 11595, 37
1643163856596, 1643163868259, 961, 0, 359, 5692, 1556
1643163859234, 1643163874856, 3060, 0, 388, 5341, 3380
1643163853622, 1643163875002, 4016, 0, 333, 11204, 3364
1643163854222, 1643163868259, 4097, 0, 437, 5498, 1556
1643163861041, 1643163888760, 3764, 0, 781, 19173, 73
1643163860629, 1643163875002, 1427, 0, 107, 6136, 3525
1643163861210, 1643163879854, 3838, 0, 777, 9959, 647
1643163856621, 1643163875222, 3940, 0, 602, 11598, 38
1643163857242, 1643163871887, 216, 0, 534, 11450, 14
1643163857820, 1643163875223, 2903, 0, 476, 11591, 38
1643163858445, 1643163875001, 4344, 0, 555, 5565, 3523
1643163859026, 1643163875002, 4066, 0, 495, 5507, 3524
1643163859633, 1643163875001, 3465, 0, 446, 5518, 3525
1643163860235, 1643163875001, 2927, 0, 489, 5367, 3523
1643163860840, 1643163875002, 2308, 0, 469, 5528, 3527
1643163861445, 1643163875783, 1004, 0, 277, 10652, 18
1643163862031, 1643163876588, 3657, 0, 249, 8380, 13
1643163862645, 1643163878944, 3539, 0, 563, 9362, 34
1643163863235, 1643163878944, 3792, 0, 163, 8742, 34
1643163863848, 1643163879855, 3855, 0, 345, 8032, 648
1643163864443, 1643163878944, 2646, 0, 192, 7820, 35
1643163870262, 1643163879629, 4702, 0, 281, 963, 18
1643163865645, 1643163878944, 267, 0, 498, 9733, 33
1643163871447, 1643163889356, 3510, 0, 517, 5646, 4264
1643163873154, 1643163887243, 386, 0, 245, 10071, 85
1643163872631, 1643163878542, 678, 0, 301, 1817, 80
1643163872379, 1643163879854, 367, 0, 333, 2504, 649
1643163868651, 1643163881504, 6968, 0, 587, 658, 1794
1643163869261, 1643163886445, 6414, 0, 214, 2292, 5851
1643163869854, 1643163894562, 5765, 0, 200, 7825, 7976
1643163870455, 1643163887242, 5220, 0, 444, 7926, 86
1643163871053, 1643163894053, 4620, 0, 326, 7426, 7539
1643163878910, 1643163901524, 2750, 0, 1477, 14933, 28
1643163872262, 1643163878462, 2626, 0, 261, 964, 17
1643163880187, 1643163901524, 1349, 0, 1295, 15254, 29
1643163880694, 1643163901524, 770, 0, 1406, 15330, 28
1643163879287, 1643163901524, 6433, 0, 418, 12021, 27
1643163883011, 1643163912802, 5058, 0, 692, 10815, 9833
1643163875274, 1643163880962, 1476, 0, 132, 1607, 78
1643163875858, 1643163894562, 953, 0, 167, 7246, 7977
1643163876466, 1643163894561, 993, 0, 280, 6143, 7976
1643163877071, 1643163897984, 1576, 0, 612, 7312, 8845
1643163877669, 1643163898016, 534, 0, 725, 12833, 3596
1643163878271, 1643163897874, 1861, 0, 329, 6084, 8734
1643163878865, 1643163887242, 343, 0, 263, 5266, 84
1643163879482, 1643163895168, 140, 0, 238, 12857, 12
1643163880070, 1643163901523, 2294, 0, 1657, 14958, 28
1643163880669, 1643163901523, 1674, 0, 1584, 14946, 27
1643163881266, 1643163896381, 3892, 0, 479, 8430, 59
1643163881867, 1643163897115, 3942, 0, 213, 8547, 12
1643163882475, 1643163901524, 864, 0, 563, 14906, 30
1643163883071, 1643163901407, 4411, 0, 150, 11643, 46
1643163883674, 1643163912802, 5204, 0, 702, 12061, 8501
1643163884278, 1643163912802, 4598, 0, 280, 13184, 7510
1643163884879, 1643163912802, 4100, 0, 613, 12443, 8004
1643163885486, 1643163912801, 4117, 0, 819, 11908, 8003
1643163886086, 1643163912801, 3393, 0, 908, 11885, 8005
1643163886678, 1643163901523, 7936, 0, 315, 4125, 29
1643163887286, 1643163912803, 322, 0, 158, 14178, 7511
1643163887895, 1643163912804, 163, 0, 147, 13585, 8501
1643163888491, 1643163912801, 588, 0, 544, 12321, 8422
1643163889095, 1643163912802, 209, 0, 783, 11141, 8509
1643163889687, 1643163920158, 8898, 0, 383, 18210, 118
1643163890288, 1643163919664, 8298, 0, 239, 17779, 67
1643163890887, 1643163920258, 7696, 0, 410, 18068, 218
1643163891489, 1643163920994, 7095, 0, 473, 18490, 561
1643163892088, 1643163919708, 6493, 0, 261, 17654, 111
1643163898964, 1643163921854, 1215, 0, 791, 16808, 95
1643163897497, 1643163919666, 576, 0, 322, 18358, 69
1643163899095, 1643163921758, 949, 0, 477, 17168, 200
1643163894502, 1643163919664, 4109, 0, 407, 17848, 68
1643163895100, 1643163912804, 57, 0, 392, 6274, 8424
