0	51200	14:17:27
64474	228265	14:17:28
10845	38294	14:17:29
77075	154473	14:17:30
77179	143712	14:17:31
53783	85188	14:17:32
1711	30000	14:17:33
4097	108000	14:17:34
4351	71878	14:17:35
358	30000	14:17:36
367	30000	14:17:37
2792	30000	14:17:38
61088	98304	14:17:39
68433	135430	14:17:40
55604	203501	14:17:41
7032	30000	14:17:42
314	30000	14:17:43
2659	30000	14:17:44
294	30000	14:17:45
337	30000	14:17:46
23372	86400	14:17:47
110727	331404	14:17:48
2854	35583	14:17:49
71808	297000	14:17:50
4545	39861	14:17:51
63653	145493	14:17:52
75634	220873	14:17:53
61057	372899	14:17:54
402	40038	14:17:55
344	30000	14:17:56
2078	30000	14:17:57
314	30000	14:17:58
4967	30000	14:17:59
13167	30000	14:18:00
124326	308304	14:18:01
68332	276344	14:18:02
368	30000	14:18:03
340	30000	14:18:04
1934	30000	14:18:05
331	30000	14:18:06
417	30000	14:18:07
1083	30000	14:18:08
84867	98304	14:18:09
45010	69340	14:18:10
62522	104192	14:18:11
391	30000	14:18:12
5634	44236	14:18:13
370	30000	14:18:14
9620	135000	14:18:15
121026	413304	14:18:16
58383	112348	14:18:17
402	30000	14:18:18
4461	30000	14:18:19
67858	98304	14:18:20
108485	169288	14:18:21
14658	63632	14:18:22
15221	135000	14:18:23
116558	222880	14:18:24
64610	253951	14:18:25
16925	42604	14:18:26
114853	208465	14:18:27
62358	107136	14:18:28
8946	30000	14:18:29
119099	308304	14:18:30
58697	140435	14:18:31
3194	30000	14:18:32
80056	98304	14:18:33
55610	86675	14:18:34
54212	105296	14:18:35
57759	129600	14:18:36
87685	214364	14:18:37
50807	72479	14:18:38
2698	30000	14:18:39
61039	98304	14:18:40
123086	211611	14:18:41
20915	149377	14:18:42
115008	314192	14:18:43
60591	163648	14:18:44
3883	30000	14:18:45
82629	98304	14:18:46
105889	108344	14:18:47
70094	108736	14:18:48
118523	268192	14:18:49
17651	62609	14:18:50
112515	216660	14:18:51
61841	89476	14:18:52
70050	104779	14:18:53
116697	214926	14:18:54
1411	30000	14:18:55
57447	122880	14:18:56
114114	169288	14:18:57
15023	46016	14:18:58
45430	122880	14:18:59
127129	211611	14:19:00
17560	30000	14:19:01
26259	192000	14:19:02
105211	264514	14:19:03
58684	71902	14:19:04
81174	109575	14:19:05
108805	373622	14:19:06
55140	307941	14:19:07
91601	188243	14:19:08
62251	94527	14:19:09
117291	334732	14:19:10
63605	204597	14:19:11
80052	104752	14:19:12
108755	128921	14:19:13
20975	240000	14:19:14
118857	330643	14:19:15
49302	44377	14:19:16
