start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643162630686, 1643162636380, 389, 0, 160, 694, 1416
1643162629140, 1643162632609, 315, 0, 127, 516, 15
1643162628726, 1643162632245, 314, 0, 141, 513, 50
1643162631456, 1643162640440, 478, 0, 160, 2750, 3065
1643162632077, 1643162638042, 320, 0, 91, 1095, 2036
1643162632541, 1643162639304, 338, 0, 158, 3264, 166
1643162634293, 1643162642359, 1240, 0, 278, 3472, 130
1643162632766, 1643162641698, 251, 0, 139, 6119, 12
1643162635535, 1643162643238, 2763, 0, 189, 2050, 14
1643162634989, 1643162643960, 2098, 0, 361, 2745, 1112
1643162634583, 1643162643909, 614, 0, 166, 6087, 22
1643162637232, 1643162654523, 3228, 0, 302, 6810, 4024
1643162636825, 1643162654522, 3595, 0, 338, 6113, 4699
1643162637375, 1643162654521, 3402, 0, 349, 4835, 5940
1643162638051, 1643162645240, 2881, 0, 337, 1422, 49
1643162632322, 1643162634689, 60, 0, 88, 389, 35
1643162632922, 1643162636529, 64, 0, 193, 1370, 24
1643162638790, 1643162645340, 475, 0, 143, 3161, 50
1643162640440, 1643162654523, 2024, 0, 235, 5442, 3497
1643162634724, 1643162642765, 223, 0, 165, 5785, 101
1643162641670, 1643162655612, 739, 0, 143, 7491, 3148
1643162642174, 1643162657392, 2069, 0, 283, 9962, 65
1643162636529, 1643162643068, 1290, 0, 150, 2623, 11
1643162637128, 1643162643846, 3476, 0, 142, 1028, 37
1643162643962, 1643162657570, 2592, 0, 583, 7927, 22
1643162638331, 1643162649515, 3016, 0, 173, 2214, 3976
1643162643095, 1643162655550, 1199, 0, 231, 8382, 51
1643162639531, 1643162643909, 315, 0, 173, 1621, 23
1643162646333, 1643162657483, 1181, 0, 185, 6848, 34
1643162640737, 1643162654522, 2237, 0, 247, 4792, 4569
1643162646701, 1643162657393, 1187, 0, 257, 6766, 64
1643162641943, 1643162654523, 227, 0, 479, 5704, 4383
1643162642554, 1643162654522, 93, 0, 119, 4455, 5045
1643162643149, 1643162654521, 66, 0, 309, 6094, 2638
1643162643755, 1643162655550, 866, 0, 304, 8486, 50
1643162644346, 1643162657482, 1794, 0, 328, 8977, 36
1643162644948, 1643162657483, 923, 0, 569, 8997, 37
1643162645551, 1643162657483, 4353, 0, 383, 5080, 35
1643162646158, 1643162657483, 579, 0, 333, 8039, 36
1643162646753, 1643162657483, 525, 0, 288, 7860, 37
1643162647353, 1643162657484, 981, 0, 187, 6907, 35
1643162647964, 1643162657570, 419, 0, 364, 6710, 24
1643162652907, 1643162661217, 2748, 0, 249, 2620, 48
1643162654411, 1643162666494, 1411, 0, 292, 4104, 3645
1643162649760, 1643162663510, 4869, 0, 131, 6687, 24
1643162655564, 1643162665509, 1870, 0, 240, 4895, 72
1643162657271, 1643162664816, 380, 0, 157, 4432, 211
1643162657753, 1643162670377, 316, 0, 281, 9598, 34
1643162657473, 1643162670375, 265, 0, 277, 9626, 33
1643162659005, 1643162680390, 1350, 0, 695, 10233, 6160
1643162659598, 1643162680390, 793, 0, 500, 10807, 6160
1643162659310, 1643162670375, 2679, 0, 676, 4983, 34
1643162654560, 1643162663510, 1578, 0, 232, 4974, 23
1643162655178, 1643162659422, 1039, 0, 108, 1082, 60
1643162655768, 1643162670376, 2037, 0, 239, 10168, 34
1643162656380, 1643162659422, 135, 0, 126, 407, 60
1643162656972, 1643162665436, 739, 0, 141, 5072, 454
1643162657571, 1643162665172, 196, 0, 219, 4935, 192
1643162658182, 1643162670378, 64, 0, 289, 9530, 34
1643162658780, 1643162679348, 3521, 0, 798, 14190, 58
1643162659373, 1643162670254, 3015, 0, 620, 5050, 52
